"Ticker","Nome","Negócios","Última (R$)","Variação"
"ODPV3","Odontoprev","1.761.700","13,10","-0,08%"
"SMTO3","São Martinho","1.761.400","16,90","-0,82%"
"BPAN4","Banco Pan","1.732.900","7,95","+1,40%"
"RECV3","PetroRecôncavo","1.729.100","12,36","-0,24%"
"SBFG3","Grupo SBF","1.618.800","12,66","+0,56%"
"IFCM3","Infracommerce","1.612.100","0,19","+0,00%"
"MLAS3","Multilaser","1.499.200","1,05","+1,94%"
"HYPE3","Hypera","1.482.300","22,67","-1,18%"
"DASA3","Dasa","1.469.800","1,44","+4,35%"
"INTB3","Intelbras","1.453.300","11,62","+0,09%"
"TAEE11","Taesa","1.410.300","36,70","+0,55%"
"MYPK3","Iochpe-Maxion","1.348.200","11,06","-1,51%"
"VVEO3","Viveo","1.265.700","1,36","+0,74%"
"RCSL4","Recrusul","1.263.500","1,06","-3,64%"
"SYNE3","SYN","1.218.500","5,15","-3,74%"
"TEND3","Construtora Tenda","1.194.600","25,67","+0,47%"
"PLPL3","Plano&Plano","1.172.600","16,65","+0,91%"
"EGIE3","Engie","1.132.300","40,30","-0,69%"
"GRND3","Grendene","1.067.400","5,12","+0,00%"
"JALL3","Jalles Machado","1.058.800","2,84","+3,27%"
"SAPR4","Sanepar","1.057.800","7,01","+0,00%"
"BRAP4","Bradespar","1.030.900","17,16","+0,00%"
"NEOE3","Neoenergia","968.900","28,02","+0,29%"
"HBSA3","Hidrovias do Brasil","945.400","3,47","+2,06%"
"EZTC3","EZTEC","944.400","16,61","+2,53%"
"JSLG3","JSL","922.400","6,29","-0,94%"
"CURY3","Cury","917.900","33,38","+1,15%"
"LAVV3","Lavvi Incorporadora","903.000","14,47","+0,63%"
"SEER3","Ser Educacional","902.500","11,06","+0,64%"
"DESK3","Desktop","889.000","10,30","-0,39%"
"MILS3","Mills","886.100","11,88","+0,76%"
"BRSR6","Banrisul","878.000","12,20","+0,99%"
"HBRE3","HBR Realty","870.300","4,67","+0,21%"
"SAPR11","Sanepar","802.600","35,85","-0,28%"
"FRAS3","Fras-le","760.700","22,33","+0,59%"
"PORT3","Wilson Sons","748.200","18,28","+0,11%"
"RANI3","Irani","747.600","8,79","-0,34%"
"POSI3","Positivo","745.800","4,31","-0,46%"
"ELET6","Eletrobras","744.100","55,49","+0,34%"
"SANB11","Banco Santander","738.400","28,83","-0,21%"
"TUPY3","Tupy","734.700","13,07","+1,32%"
"CAML3","Camil Alimentos","718.600","4,96","+0,40%"
"GFSA3","Gafisa","711.100","8,20","+1,23%"
"CPFE3","CPFL Energia","706.800","38,48","+0,52%"
"GUAR3","Guararapes","703.500","9,44","+2,05%"
"EVEN3","Even","668.400","7,51","-0,66%"
"TRIS3","Trisul","618.600","7,30","+1,81%"
"KEPL3","Kepler Weber","605.300","7,40","+1,37%"
"USIM3","Usiminas","584.000","4,41","-0,23%"
"KLBN3","Klabin","581.700","3,66","+0,83%"
"ALPA4","Alpargatas","563.800","9,50","+0,53%"
"MDNE3","Moura Dubeux","548.400","28,31","+0,78%"
"MELK3","Melnick","536.800","4,03","+2,03%"
"ITUB3","Itaú Unibanco","535.100","33,88","+0,71%"
"LIGT3","Light","534.800","5,36","-1,65%"
"PRNR3","Priner","527.500","16,50","-1,55%"
"ARML3","Armac","520.100","3,48","+1,46%"
"TTEN3","3tentos","507.800","13,58","-0,15%"
"FESA4","Ferbasa","475.500","6,58","+0,46%"
"IRBR3","IRB Brasil RE","473.200","48,87","+0,91%"
"VULC3","Vulcabras","454.600","19,52","+0,41%"
"ORVR3","Orizon","433.800","55,14","-0,34%"
"BMOB3","Bemobi","412.200","21,80","-0,91%"
"CSED3","Cruzeiro do Sul Educacional","399.800","4,95","+0,20%"
"PMAM3","Paranapanema","389.500","1,24","-3,88%"
"TFCO4","Track & Field","384.000","16,91","+0,59%"
"SHUL4","Schulz","381.100","4,62","+0,43%"
"BRBI11","BR Partners","372.600","17,93","+0,50%"
"VTRU3","VITRUBREPCOM","368.900","11,27","-0,18%"
"BMGB4","Banco BMG","368.000","3,92","+0,26%"
"MTRE3","Mitre Realty","362.200","3,79","+0,53%"
"ENJU3","Enjoei","349.500","0,92","+0,00%"
"POMO3","Marcopolo","321.200","7,59","+2,85%"
"ALUP11","Alupar","315.000","31,76","+0,54%"
"FIQE3","Unifique","309.300","4,46","+0,00%"
"TOKY3","TOKY3","300.800","0,96","-2,04%"
"ALLD3","Allied","298.400","8,68","-1,14%"
"SOJA3","Boa Safra Sementes","290.700","10,41","-1,05%"
"PINE4","Banco Pine","282.000","8,58","+2,75%"
"SAPR3","Sanepar","270.600","7,71","+0,39%"
"LEVE3","Mahle Metal Leve","270.200","27,35","-0,91%"
"OPCT3","OceanPact","265.900","7,76","+1,97%"
"TGMA3","Tegma","265.800","34,70","+0,67%"
"AMAR3","Lojas Marisa","253.900","1,17","-3,31%"
"PNVL3","Dimed","241.600","9,46","-0,21%"
"ESPA3","Espaçolaser","239.600","1,14","-1,72%"
"ABCB4","Banco ABC Brasil","235.800","23,01","+0,92%"
"LOGG3","LOG CP","229.500","22,89","-0,52%"
"WIZC3","Wiz Soluções","229.300","8,38","+0,24%"
"VLID3","Valid","225.700","20,85","+1,16%"
"TASA4","Taurus","225.600","4,71","-1,67%"
"RNEW4","Renova Energia","216.000","0,98","-2,97%"
"SEQL3","Sequoia Logística","214.600","1,06","-1,85%"
"MDIA3","M. Dias Branco","212.000","28,35","-0,49%"
"LPSB3","Lopes","207.400","1,32","+3,12%"
"UNIP6","Unipar","196.400","74,33","+1,72%"
"ALPK3","Estapar","190.100","3,45","-0,29%"
"AGRO3","BrasilAgro","171.900","20,51","+1,03%"
"MATD3","Mater Dei","135.400","4,30","-2,71%"
"BRST3","Brisanet","125.300","2,89","+3,21%"
"PFRM3","Profarma","120.600","7,66","+0,79%"
"BIOM3","Biomm","119.200","10,11","+12,33%"
"TAEE4","Taesa","116.300","12,20","-0,33%"
"ZAMP3","Zamp","107.300","3,50","+0,00%"
"BLAU3","Blau Farmacêutica","105.300","13,53","+0,97%"
"SHOW3","Time For Fun","102.600","5,75","-2,04%"
"SCAR3","São Carlos","94.000","21,49","+0,47%"
"ITSA3","Itaúsa","82.400","11,23","+0,54%"
"VITT3","Vittia","78.100","4,81","+0,00%"
"DEXP3","Dexxos","73.800","8,14","+0,49%"
"ROMI3","Indústrias ROMI","70.600","7,89","+0,38%"
"AALR3","Alliança","69.400","6,56","-2,09%"
"MEAL3","IMC Alimentação","65.700","1,31","+0,77%"
"CMIG3","Cemig","63.900","14,29","+0,35%"
"UCAS3","Unicasa","63.000","1,29","+0,00%"
"ETER3","Eternit","61.800","4,48","-1,54%"
"LUPA3","Lupatech","58.400","1,00","-0,99%"
"LOGN3","Log-In","52.200","25,90","-0,42%"
"LAND3","Terra Santa","48.700","8,80","-1,23%"
"WEST3","Westwing","47.700","4,90","-4,67%"
"GOAU3","Metalúrgica Gerdau","47.500","10,04","+1,72%"
"AERI3","Aeris Energy","43.400","4,08","+0,00%"
"DMVF3","D1000 Varejo Farma","41.500","4,63","-1,07%"
"GGBR3","Gerdau","40.600","15,34","+1,79%"
"TAEE3","Taesa","39.800","12,10","-0,17%"
"TCSA3","Tecnisa","39.400","1,49","-0,67%"
"TECN3","Technos","37.100","6,76","+1,81%"
"AMOB3","Automob","36.800","12,50","-0,79%"
"INEP3","Inepar","34.400","1,55","+4,03%"
"SANB4","Banco Santander","33.300","15,06","-0,07%"
"FICT3","Fictor Alimentos","32.900","3,25","+3,17%"
"RNEW3","Renova Energia","32.800","1,05","-4,55%"
"CSUD3","CSU Cardsystem","32.500","17,80","-0,61%"
"PTBL3","Portobello","31.900","4,02","-2,19%"
"BRAP3","Bradespar","31.700","15,66","-0,57%"
"RCSL3","Recrusul","31.100","1,51","-1,95%"
"SANB3","Banco Santander","28.300","13,79","-0,07%"
"EUCA4","Eucatex","26.200","16,90","+0,00%"
"INEP4","Inepar","24.800","1,37","-2,14%"
"HOOT4","Hotéis Othon","23.700","4,09","+0,00%"
"ALPA3","Alpargatas","22.300","9,46","+0,32%"
"BMEB4","Banco Mercantil do Brasil","19.000","52,51","-0,92%"
"IGTI3","Jereissati Participações","18.400","2,84","+1,43%"
"IGTI3","Iguatemi","18.400","2,84","+1,43%"
"TASA3","Taurus","18.100","5,30","-2,03%"
"VIVR3","Viver","17.600","0,92","-1,08%"
"NGRD3","Neogrid","17.500","26,09","+3,49%"
"RAPT3","Randon","17.500","5,79","-0,34%"
"WHRL3","Whirlpool","14.100","4,58","+0,88%"
"FHER3","Fertilizantes Heringer","12.900","4,21","-5,18%"
"BEES3","Banestes","12.700","8,13","-0,12%"
"CLSC4","Celesc","12.600","99,98","-1,70%"
"CTAX3","CTAX3","12.300","1,20","+4,35%"
"PDTC3","Padtec","12.300","1,00","+0,00%"
"CAMB3","Cambuci","11.700","9,90","+2,27%"
"AGXY3","AgroGalaxy","11.600","5,68","-1,56%"
"CGRA4","Grazziotin","10.700","30,51","-0,13%"
"AVLL3","Alphaville","9.900","1,59","-2,45%"
"OIBR4","Oi","9.500","5,26","-5,05%"
"ALUP3","Alupar","9.300","11,50","+2,40%"
"ALUP4","Alupar","8.700","10,17","+1,60%"
"LUXM4","Trevisa","8.300","3,39","+0,59%"
"WHRL4","Whirlpool","7.900","4,71","-0,21%"
"CRPG5","Tronox Pigmentos","7.700","12,17","+1,42%"
"TELB3","Telebras","7.700","10,51","-4,37%"
"BRKM3","Braskem","7.600","7,58","-0,39%"
"UNIP3","Unipar","7.300","61,89","+0,31%"
"EALT4","Electro Aço Altona","6.700","11,42","+0,62%"
"BRSR3","Banrisul","6.500","13,95","-0,57%"
"REAG3","REAG3","6.500","2,41","+0,00%"
"TRAD3","Traders Club","6.400","5,19","-2,08%"
"RDNI3","RNI","6.100","2,03","-1,46%"
"PTNT4","Pettenati","6.000","4,89","+2,52%"
"JFEN3","João Fortes","5.900","1,64","-1,20%"
"DOTZ3","Dotz","5.600","7,29","+1,96%"
"CEBR6","CEB","5.400","24,81","+0,08%"
"DEXP4","Dexxos","5.100","8,11","+0,25%"
"CEBR5","CEB","4.900","22,91","-0,26%"
"AZEV11","Azevedo & Travassos","4.800","0,09","+0,00%"
"NUTR3","Nutriplant","4.700","2,88","-4,00%"
"HAGA3","Haga","4.500","1,79","-1,10%"
"EMAE4","EMAE","4.300","35,22","+3,53%"
"BAZA3","Banco da Amazônia","4.200","74,78","+0,82%"
"MGEL4","Mangels","4.200","5,80","-7,94%"
